Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Premier 5.0+,Pool E,4,Single game,NK.,BenDu Over,NK.,22,20,,,,,kevin um,Nick Wideman,,Michael Du,Benjamin Banuelos,
Pool Play,Premier 5.0+,Pool F,4,Single game,WySpike Synergy,Burqueños,WySpike Synergy,21,6,,,,,Matthew Burrows,Nick Noguez,,Luke Freimanis,Daniel Blodgett,
Pool Play,Premier 5.0+,Pool F,4,Single game,Ball Blasters,Dialed,Ball Blasters,21,19,,,,,David Gonzales,Rendall Weaver,,Luke Pennington,Josh Cain,
Pool Play,Premier 5.0+,Pool G,4,Single game,Profit Boost,Last Place,Profit Boost,21,17,,,,,Justin Shaytar,Kieran Rose,,Ben Arauzo,Zayne Shields,
Pool Play,Premier 5.0+,Pool G,4,Single game,Jersey Boyz,Goblin giant,Jersey Boyz,21,17,,,,,Corey Weiss,Matt Spolarich,,Kyan Kornfeld,Nickhil Anantha,
Pool Play,Premier 5.0+,Pool H,4,Single game,Lazy,Charlie and the Chocolate Factory,Lazy,21,12,,,,,Luke Marshall,Cade Larson,,David Mitchell,Charlie Camarena,
Pool Play,Premier 5.0+,Pool H,4,Single game,Sawtooth Spikers,Royal Flush,Royal Flush,18,21,,,,,Thomas Maloney,Dennis Joseph,,Bryant Karratti,Jake LeBaron,
Pool Play,Premier 5.0+,Pool I,4,Single game,"Depression, Cheez-Its, and Cargo Shorts","Happenstance ","Depression, Cheez-Its, and Cargo Shorts",21,14,,,,,Taylor Church,Garrett Carver,,Jalen Butkus,John Hickmott,
Pool Play,Premier 5.0+,Pool I,4,Single game,Big Dawgs,Hit Ball Hard,Hit Ball Hard,17,21,,,,,Caleb Cummings,Tyler Fernandez,,Adam Porter,Garrett Ashton,
Pool Play,Premier 5.0+,Pool J,4,Single game,Chelsea United,Couldn't Carry less,Chelsea United,21,15,,,,,Josh Fragiacomo,Ethan Zehr,,Slade Warner,Arrow Griner,
Pool Play,Premier 5.0+,Pool J,4,Single game,BorderLine,Disordered,BorderLine,21,13,,,,,Kaleb Wagner,Trey Thompson,,Solomon Berry,Andrew Greer,
Pool Play,Premier 5.0+,Pool A,5,Single game,Judgment Day,TRP Mermaid Sparkle,Judgment Day,21,15,,,,,fredric hinkle,Gabriel Finocchi,,Noah Luskus,Christian Bennett,
Pool Play,Premier 5.0+,Pool A,5,Single game,Bad Combo,Morgan/Mowry,Bad Combo,22,20,,,,,Rahul Murthy,Will Picone,,Dawson Morgan,Luke Mowry,
Pool Play,Premier 5.0+,Pool B,5,Single game,Assistive Touch,Insystem,Assistive Touch,21,19,,,,,Clark Marshall,Buddy Hammon,,Blake Bosak,Etienne Cote,
Pool Play,Premier 5.0+,Pool B,5,Single game,TRP Spotless,Cigar Boys,TRP Spotless,21,15,,,,,Joe Bondi,Ryan Gross,,Grant Laughlin,Dan Abrams,
Pool Play,Premier 5.0+,Pool C,5,Single game,TRP Moneyline,here to slay,TRP Moneyline,21,14,,,,,Ryder Rivadeneyra,Matthew Cole,,Dax O'Hair,bradley thompson,
Pool Play,Premier 5.0+,Pool C,5,Single game,Edgerunners,Lanky and Clanky,Lanky and Clanky,15,21,,,,,Chase Meyer,Clifton Miller,,Grant Gouger,Jesse Lehn,
Pool Play,Premier 5.0+,Pool D,5,Single game,Not.Ok,Hot‘n‘cold,Not.Ok,21,17,,,,,Xande Plaisted,Anthony Clifford,,Trent Alderfer,Cody Brower,
Pool Play,Premier 5.0+,Pool D,5,Single game,Native Texans,Moon Boys,Moon Boys,13,21,,,,,Dylan Bricker,Grayson M  Wills,,Jordan Freitas,Conner Bradshaw,
Pool Play,Premier 5.0+,Pool E,5,Single game,Quality Service,BenDu Over,Quality Service,21,19,,,,,Jacob Payer,Andrew Kosche,,Michael Du,Benjamin Banuelos,
Pool Play,Premier 5.0+,Pool E,5,Single game,NK.,Teenage Dirtbags,NK.,21,16,,,,,kevin um,Nick Wideman,,Taylor Sanford,Kannon Forbush,
Pool Play,Premier 5.0+,Pool F,5,Single game,WySpike Synergy,Dialed,WySpike Synergy,21,18,,,,,Matthew Burrows,Nick Noguez,,Luke Pennington,Josh Cain,
Pool Play,Premier 5.0+,Pool F,5,Single game,Ball Blasters,Burqueños,Ball Blasters,22,20,,,,,David Gonzales,Rendall Weaver,,Luke Freimanis,Daniel Blodgett,
Pool Play,Premier 5.0+,Pool G,5,Single game,Profit Boost,Goblin giant,Profit Boost,21,16,,,,,Justin Shaytar,Kieran Rose,,Kyan Kornfeld,Nickhil Anantha,
